==24336== NVPROF is profiling process 24336, command: runnable.exe
==24336== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24336== Profiling application: runnable.exe
==24336== Profiling result:
==24336== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex0_cache_sector_queries",288,288,288,288
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex1_cache_sector_queries",276,276,276,276
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex0_cache_sector_misses",192,192,192,192
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex1_cache_sector_misses",184,184,184,184
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_read_tex_sector_queries",92,92,92,92
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_read_tex_sector_queries",96,96,96,96
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_write_tex_sector_queries",46,46,46,46
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_write_tex_sector_queries",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_read_tex_hit_sectors",92,92,92,92
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_read_tex_hit_sectors",96,96,96,96
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_write_tex_hit_sectors",46,46,46,46
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_write_tex_hit_sectors",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_total_read_sector_queries",100,100,100,100
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_total_read_sector_queries",114,114,114,114
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_total_write_sector_queries",58,58,58,58
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_total_write_sector_queries",49,49,49,49
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_read_sysmem_sector_queries",11,11,11,11
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp0_write_sysmem_sector_queries",4,4,4,4
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_subp1_write_sysmem_sector_queries",1,1,1,1
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"elapsed_cycles_sm",14991,14991,14991,14991
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_inst_32bit",1500,1500,1500,1500
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_inst_32bit",750,750,750,750
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"warps_launched",24,24,24,24
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_issued0",2702,2702,2702,2702
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_issued1",768,768,768,768
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_issued2",24,24,24,24
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_executed",744,744,744,744
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"thread_inst_executed",23250,23250,23250,23250
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"not_predicated_off_thread_inst_executed",22500,22500,22500,22500
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"active_cycles",906,906,906,906
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"active_warps",24246,24246,24246,24246
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"global_load",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"global_store",24,24,24,24
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"generic_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"generic_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_executed_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"active_cycles_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_executed_shared_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_atom",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"global_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"atom_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gred_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"divergent_branch",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"branch",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_ld_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_st_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"active_cycles_pm",899,899,899,899
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"active_warps_pm",20124,20124,20124,20124
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"elapsed_cycles_pm",15864,15864,15864,15864

==24336== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_per_warp","Instructions per warp",31.000000,31.000000,31.000000
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",97.656250%,97.656250%,97.656250%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",94.506048%,94.506048%,94.506048%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.096774,0.096774,0.096774
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",15.708333,15.708333,15.708333
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",3.916667,3.916667,3.916667
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_transactions","Global Load Transactions",754,754,754
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_transactions","Global Store Transactions",94,94,94
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"sysmem_read_transactions","System Memory Read Transactions",1,1,1
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_read_transactions","L2 Read Transactions",214,214,214
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_write_transactions","L2 Write Transactions",107,107,107
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_requested_throughput","Requested Global Load Throughput",2.612406GB/s,2.612406GB/s,2.612405GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_requested_throughput","Requested Global Store Throughput",1.306203GB/s,1.306203GB/s,1.306202GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_throughput","Global Load Throughput",2.619372GB/s,2.619372GB/s,2.619372GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_throughput","Global Store Throughput",1.309686GB/s,1.309686GB/s,1.309686GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex_cache_throughput","Unified Cache Throughput",2.619372GB/s,2.619372GB/s,2.619372GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",2.619372GB/s,2.619372GB/s,2.619372GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",1.309686GB/s,1.309686GB/s,1.309686GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_read_throughput","L2 Throughput (Reads)",2.981626GB/s,2.981626GB/s,2.981625GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"l2_write_throughput","L2 Throughput (Writes)",1.490813GB/s,1.490813GB/s,1.490812GB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"sysmem_read_throughput","System Memory Read Throughput",14.267217MB/s,14.267217MB/s,14.266771MB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"sysmem_write_throughput","System Memory Write Throughput",71.336087MB/s,71.336087MB/s,71.335641MB/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gld_efficiency","Global Memory Load Efficiency",99.734043%,99.734043%,99.734043%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"gst_efficiency","Global Memory Store Efficiency",99.734043%,99.734043%,99.734043%
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"tex_cache_transactions","Unified Cache Transactions",188,188,188
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"NVIDIA GeForce MX250 (0)","matrix_dot_product(float*, float*, float*, int, int)",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
